filter_variant,model,accuracy,precision,recall,f1,threshold,tp,fp,tn,fn,single_sequence_ms,batch_per_sequence_ms,train_seconds,parameter_count
baseline,lstm,0.7300706011378436,0.5836078534721307,0.8505857499519877,0.6922475773679275,0.72,4429,3160,6222,778,0.5709300003945827,0.04327024820327097,65.74479212495498,53441
baseline,cnn1d,0.831242717115635,0.7261492832427089,0.8463606683310928,0.7816601631784321,0.8999999999999999,4407,1662,7720,800,0.31005667988210917,0.2074811629290707,180.77118754200637,107777
baseline,cnn_lstm,0.8276783878264445,0.7051028179741051,0.8889955828692145,0.7864424057084608,0.4099999999999999,4629,1936,7446,578,0.7022449991200119,0.089309152832584,119.07827949995408,77025
median3,lstm,0.7539927342518336,0.6095908967759415,0.8642212406376032,0.7149098419254906,0.8099999999999999,4500,2882,6500,707,0.5614841601345688,0.042820355624826334,63.39943749998929,53441
median3,cnn1d,0.8013571869216533,0.666907618909932,0.8859227962358364,0.7609699769053117,0.5099999999999999,4613,2304,7078,594,0.29948500101454556,0.21002326742177502,182.42040345899295,107777
median3,cnn_lstm,0.7872369593529371,0.6562639322336157,0.8480891108123679,0.7399463806970509,0.43999999999999995,4416,2313,7069,791,0.7197424990590662,0.09131606933578951,118.48447308305185,77025
ema030,lstm,0.7613270272122832,0.6288274831964152,0.8085269829076244,0.7074441270374726,0.74,4210,2485,6897,997,0.5591891601216048,0.04198883871140424,64.21094412496313,53441
ema030,cnn1d,0.8059496881211872,0.6738366988586479,0.8843864029191473,0.7648866373224814,0.6699999999999999,4605,2229,7153,602,0.3225266805384308,0.20327083415963898,181.43728283402743,107777
ema030,cnn_lstm,0.7794228528343272,0.6444444444444445,0.8521221432686767,0.7338736354614621,0.6499999999999999,4437,2448,6934,770,0.6979366601444781,0.08980594808690512,120.96529591595754,77025
median3_ema030,lstm,0.7296593323737062,0.5957253296953161,0.7547532168235068,0.6658759742460183,0.8099999999999999,3930,2667,6715,1277,0.5678033200092614,0.04110381753889669,64.1424431669875,53441
median3_ema030,cnn1d,0.7888134896154637,0.6580434136187927,0.8500096024582293,0.7418084304030838,0.74,4426,2300,7082,781,0.3190283407457173,0.2063527335553772,178.08932199998526,107777
median3_ema030,cnn_lstm,0.7766810610734115,0.6289191692022754,0.9130017284424813,0.7447908506971643,0.3999999999999999,4754,2805,6577,453,0.7045341597404331,0.08938179119127199,117.5983858749969,77025
